2009, NA, Regular training by JAS og F-16s No data
2010, 48, events (the first year Finland joined)
2011, 63, events
2012, 90, events (dette var toppen mye grunnet forberedelser til første ACE i 2013)
2013, 62,
2014, 60,
2015, 56,
2016, 48,
2017, 52,
2018, 46,
2019, 40,
2020, 37,
2021, 33,
